timeStamp,Well1,Well2,Well3,Well4,Well5,Well6,Well7,Well8,Well9,Well10
1515974400,-6.33,-6.39,-7.27,-7.14,-7.15,-7.14,-6.68,-6.31,-5.65,-5.79
1518652800,-6.43,-6.4,-7.32,-7.16,-7.2,-7.16,-6.7,-6.32,-5.8,-5.81
1521072000,-6.44,-6.4,-7.3,-7.14,-7.19,-7.15,-6.71,-6.33,-5.88,-5.83
1523750400,-6.56,-6.42,-7.45,-7.17,-7.32,-7.17,-6.7,-6.34,-5.9,-5.86
1526342400,-6.6,-6.44,-7.5,-7.17,-7.38,-7.17,-6.6,-6.35,-5.9,-5.88
1529020800,-6.53,-6.47,-7.38,-7.2,-7.31,-7.2,-6.52,-6.35,-5.9,-5.88
1531612800,-6.41,-6.47,-7.2,-7.2,-7.08,-7.2,-6.5,-6.34,-5.88,-5.88
1534291200,-6.3,-6.46,-7.1,-7.2,-6.98,-7.2,-6.68,-6.33,-5.91,-5.88
1536969600,-6.29,-6.44,-7.11,-7.16,-7,-7.16,-7.03,-6.36,-5.94,-5.89
1539561600,-6.31,-6.42,-7.18,-7.15,-7.06,-7.15,-6.99,-6.4,-5.94,-5.92
1542240000,-6.43,-6.41,-7.29,-7.12,-7.17,-7.13,-6.98,-6.44,-5.97,-5.95
1544832000,-6.47,-6.42,-7.41,-7.14,-7.28,-7.14,-7.02,-6.47,-5.96,-5.97
1547510400,-6.33,-6.43,-7.35,-7.14,-7.23,-7.15,-6.95,-6.48,-5.87,-5.98
1550188800,-6.35,-6.43,-7.38,-7.17,-7.25,-7.17,-6.76,-6.49,-5.92,-5.98
1552608000,-6.43,-6.42,-7.56,-7.17,-7.43,-7.17,-6.8,-6.48,-5.94,-5.98
1555286400,-6.6,-6.43,-7.52,-7.21,-7.46,-7.2,-6.75,-6.47,-5.96,-5.98
1557878400,-6.59,-6.46,-7.5,-7.22,-7.42,-7.22,-6.78,-6.47,-5.95,-5.98
1560556800,-6.49,-6.48,-7.36,-7.24,-7.23,-7.24,-6.74,-6.47,-5.93,-5.98
1563148800,-6.42,-6.48,-7.27,-7.23,-7.21,-7.23,-6.73,-6.47,-5.95,-5.98
1565827200,-6.3,-6.47,-7.1,-7.23,-7.06,-7.22,-6.66,-6.46,-5.94,-5.98
1568505600,-6.19,-6.45,-7.02,-7.18,-6.95,-7.19,-6.61,-6.46,-5.97,-5.98
1571097600,-6.22,-6.42,-7.1,-7.16,-7.02,-7.16,-6.57,-6.45,-5.99,-5.98
1573776000,-6.28,-6.39,-7.19,-7.13,-7.08,-7.13,-6.59,-6.44,-6.02,-5.98
1576368000,-6.35,-6.39,-7.25,-7.13,-7.16,-7.13,-6.64,-6.44,-6.04,-5.99
1579046400,-6.44,-6.4,-7.37,-7.12,-7.29,-7.12,-6.7,-6.44,-6.08,-6
1581724800,-6.42,-6.41,-7.31,-7.14,-7.23,-7.14,-6.74,-6.45,-6.11,-6.02
1584230400,-6.57,-6.42,-7.55,-7.15,-7.47,-7.15,-6.78,-6.47,-6.12,-6.03
1586908800,-6.72,-6.45,-7.72,-7.18,-7.65,-7.18,-6.86,-6.49,-6.15,-6.05
1589500800,-6.8,-6.48,-7.82,-7.21,-7.73,-7.22,-6.95,-6.51,-6.13,-6.07
1592179200,-6.78,-6.52,-7.74,-7.27,-7.65,-7.27,-6.97,-6.53,-6.1,-6.08
1594771200,-6.71,-6.55,-7.66,-7.29,-7.58,-7.29,-6.96,-6.55,-6.12,-6.09
1597449600,-6.64,-6.56,-7.56,-7.31,-7.48,-7.31,-6.94,-6.57,-6.14,-6.1
1600128000,-6.63,-6.56,-7.59,-7.31,-7.51,-7.31,-6.93,-6.58,-6.16,-6.12
1602720000,-6.47,-6.56,-7.38,-7.32,-7.33,-7.31,-6.83,-6.59,-6.12,-6.12
1605398400,-6.49,-6.54,-7.4,-7.3,-7.33,-7.3,-6.82,-6.59,-6.16,-6.12
1607990400,-6.59,-6.52,-7.54,-7.29,-7.47,-7.29,-6.88,-6.58,-6.18,-6.13
